,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
223,SA1_m05_v30_Ye20_spec_2020-07-01.dat,0.05,0.3,0.2,16.647071675149903,0.028747402077250683,0.024914415133618917,5.923625065262096,22263,0.0268309086054348
224,SA1_m05_v30_Ye25_spec_2020-07-01.dat,0.05,0.3,0.25,1.0300352188685595,0.0015167809945999533,0.0007583904973000877,67.00974899082752,22263,0.0011375857459500205
225,SA1_m05_v30_Ye30_spec_2020-07-01.dat,0.05,0.3,0.3,1.7664533386426577,0.0026166902624098487,0.0006541725656026287,103.19928338484607,22263,0.0016354314140062387
226,SA1_m05_v30_Ye35_spec_2020-07-01.dat,0.05,0.3,0.35,3.1740659191685068,0.004374897371416164,0.0036457478095131,54.4716453268497,22263,0.004010322590464632
227,SA1_m05_v30_Ye40_spec_2020-07-01.dat,0.05,0.3,0.4,1.0845551676379808,0.0011234756589542094,0.0008738144014088789,64.47706530503234,22263,0.0009986450301815442
228,SA1_m05_v30_Ye45_spec_2020-07-01.dat,0.05,0.3,0.45,0.01049078189922828,0.0004907818992282795,1.7112339582674163e-07,56.48589661685329,22263,0.00024547651131205314
229,SA1_m05_v30_Ye50_spec_2020-07-01.dat,0.05,0.3,0.5,0.8149046508198212,0.0006008993287195397,0.0003004496643597143,380.0520442012191,22263,0.000450674496539627
230,SA1_m05_v40_Ye05_spec_2020-07-01.dat,0.05,0.4,0.05,74.31973551210443,0.3466426945032879,0.3523253616262849,1.771649235448192,18215,0.3494840280647864
231,SA1_m05_v40_Ye10_spec_2020-07-01.dat,0.05,0.4,0.1,72.79113225617964,0.33512588680592614,0.32674773963577763,1.8462403210968836,18215,0.3309368132208519
232,SA1_m05_v40_Ye15_spec_2020-07-01.dat,0.05,0.4,0.15,85.13002915893495,0.38928981488675163,0.3795575695145885,1.9471038342137634,18215,0.3844236922006701
233,SA1_m05_v40_Ye20_spec_2020-07-01.dat,0.05,0.4,0.2,44.571486720689656,0.16844057277544522,0.16333631299436746,2.4548389907270143,18215,0.16588844288490634
234,SA1_m05_v40_Ye25_spec_2020-07-01.dat,0.05,0.4,0.25,13.10181047047159,0.018054417670169798,0.01654988286432335,42.675340338422686,18215,0.017302150267246574
235,SA1_m05_v40_Ye30_spec_2020-07-01.dat,0.05,0.4,0.3,3.1990552539825763,0.004425607297815937,0.004056806689664683,101.8225463505427,18215,0.00424120699374031
